Model,Accuracy,Precision,Recall,F1
RNN_BERT,0.6011885379355258,0.6394199701563056,0.6011885379355258,0.591169684006513
RNN_GPT,0.6177955063497232,0.6436915895395559,0.6177955063497232,0.6109804794499102
