Model,Accuracy,Precision,Recall,F1
RNN_GloVe,0.5970367958319766,0.6282987172038181,0.5970367958319766,0.5862373337505055
RNN_Word2Vec,0.6223542819928362,0.6280200334496018,0.6223542819928362,0.6219434538612378
